STATEFP, PLACEFP, PLACENS, GEOID, NAME, NAMELSAD, LSAD, CLASSFP, PCICBSA, PCINECTA, MTFCC, FUNCSTAT, ALAND, AWATER, INTPTLAT, INTPTLON
78, 16300, 02414184, 7816300, Charlotte Amalie, Charlotte Amalie town, 43, C9, N, N, G4110, N, 3130699, 0, +18.3418813, -064.9331853
78, 19900, 02414185, 7819900, Christiansted, Christiansted town, 43, C9, N, N, G4110, N, 1330890, 0, +17.7439297, -064.7063795
78, 37900, 02414186, 7837900, Frederiksted, Frederiksted town, 43, C9, N, N, G4110, N, 440635, 47112, +17.7129077, -064.8822745
78, 18100, 02414007, 7818100, Charlotte Amalie East, Charlotte Amalie East CDP, 57, U2, N, N, G4210, S, 862216, 0, +18.3339803, -064.9157254
78, 19000, 02414008, 7819000, Charlotte Amalie West, Charlotte Amalie West CDP, 57, U2, N, N, G4210, S, 5108131, 27768, +18.3367224, -064.9720571
78, 27000, 02651573, 7827000, Coral Bay, Coral Bay CDP, 57, U1, N, N, G4210, S, 4742478, 975010, +18.3451896, -064.7172899
78, 28000, 02414009, 7828000, Cruz Bay, Cruz Bay CDP, 57, U1, N, N, G4210, S, 7828060, 2463942, +18.3237480, -064.7797895
78, 39700, 02414020, 7839700, Frederiksted Southeast, Frederiksted Southeast CDP, 57, U2, N, N, G4210, S, 2617382, 0, +17.7030250, -064.8763337
78, 65530, 02651575, 7865530, Red Hook, Red Hook CDP, 57, U2, N, N, G4210, S, 733480, 716140, +18.3246120, -064.8412258
78, 78300, 02413996, 7878300, Tutu, Tutu CDP, 57, U1, N, N, G4210, S, 4235909, 28670, +18.3390198, -064.8885716
